id,name,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,host_id
46251466,North Dallas 3/2/2 near 635 and 75 #2,District 11,32.92942,-96.76619,Entire home,Entire home/apt,10,3.0,6.0,228.0,60,1125,4.72,4.72,4.67,4.94,4.67,4.44,4.72,False,5790940
46375023,"Loft style, pet friendly studio/ Fabulous location",District 13,32.85333,-96.83632,Entire guest suite,Entire home/apt,2,1.0,,147.0,6,365,5.0,5.0,4.67,5.0,5.0,4.67,4.33,False,40907479
46488969,Mid-Century Modern Spacious Dallas Townhome,District 13,32.8744,-96.75844,Entire townhouse,Entire home/apt,8,3.0,5.0,207.0,2,1125,4.57,4.74,4.4,4.72,4.85,4.38,4.62,False,168382649
46521760,8 Plus Simple Spacious Extended stay,District 7,32.78897,-96.69545,Entire home,Entire home/apt,8,4.0,4.0,299.0,7,1125,4.86,4.86,4.86,5.0,5.0,5.0,4.86,False,35493459
46581765,GAME OF THRONES | 2 BD/2 BR | FAMILY FRIENDLY | KING SUITE,District 14,32.82604,-96.78519,Entire rental unit,Entire home/apt,5,2.0,3.0,145.0,1,1125,4.87,4.92,4.94,4.89,4.95,4.75,4.81,False,157425268
46620137,Bishop Arts Lofts Unit 6,District 1,32.7492,-96.82822,Entire rental unit,Entire home/apt,6,2.0,4.0,126.0,1,365,4.71,4.87,4.8,4.91,4.84,4.94,4.74,False,373957214
46714451,AMAZING 2-BED|2-BATH TOWNHOME IN PERFECT LOCATION,District 2,32.81376,-96.77512,Entire townhouse,Entire home/apt,4,2.0,2.0,158.0,1,1125,4.95,4.97,4.94,4.97,4.94,4.97,4.9,False,304582478
47122222,CozySuites | Best Sky Pool in Dallas | 1BR,District 14,32.78048,-96.7994,Entire rental unit,Entire home/apt,3,1.0,2.0,161.0,2,180,4.54,4.66,4.6,4.69,4.74,4.63,4.49,False,372592509
47125444,"2019 Luxurious, Spacious and Prestigious Location",District 13,32.85322,-96.82559,Entire home,Entire home/apt,15,6.0,10.0,510.0,2,365,4.89,5.0,5.0,5.0,5.0,5.0,5.0,True,331860168
47238756,Hamilton House - Stylish Retreat w/Rooftop Patio,District 14,32.81837,-96.81011,Entire townhouse,Entire home/apt,7,3.0,7.0,179.0,3,1125,4.78,4.93,4.63,4.94,4.9,4.92,4.85,True,355241657
